case_id,court_id,case_type,filed_date,disposed_date,status,reported_days
004354,04,Crim,05/02/2026,28/06/2026,disposed,143
002719,07,Criminal ,07/04/2025,02/07/2025,disposed,86
002959,02,CRIMINAL,06/12/2025,09/03/2026,Disposed,93
002723,10,Criminal ,07/07/2024,03/12/2024,disposed,149
001505,03,Civil,17/07/2024,23/01/2025,disposed,-
002442,03,CRIMINAL,03/04/2026,12/05/2026,DISPOSED,39
001616,07,Family Court,10/08/2024,,Active,
004848,08,civil,22/10/2024,19/05/2025,Disposed,209
003407,10,Civil,24/01/2025,05/03/2025,disposed,40
004384,06,criminal,22/06/2025,21/01/2026,DISPOSED,213
004259,04, Civil,02/08/2024,06/07/2025,DISPOSED,338
001992,01,Fam,09/06/2025,,active,
004997,03, Family,13/12/2024,11/05/2026,disposed,514
004312,08,youth,04/12/2025,27/06/2026,disposed,205
004389,07,family,18/12/2025,02/04/2026,Disposed,105
001626,12,Crim,05/11/2025,07/02/2026,Disposed,94
001684,09,Crim,19/07/2025,13/10/2025,disposed,86
001268,06,family,19/01/2026,17/03/2026,disposed,57
003117,06,FAMILY,17/11/2024,09/11/2025,disposed,357
003846,02,criminal,29/04/2026,,Active,
003553,11,Family,05/03/2026,,active,
003891,11,YOUTH,23/06/2025,30/07/2025,Disposed,37
003954,01,YOUTH,04/11/2024,07/12/2024,DISPOSED,33
003139,11, Civil,18/11/2024,17/04/2025,DISPOSED,150
002197,05,Crim,11/10/2025,29/12/2025,DISPOSED,79
002921,01,CRIMINAL,23/12/2024,,active,
001819,08,criminal,29/04/2025,27/02/2026,DISPOSED,304
005000,02,Civil,10/03/2025,,Active,
001730,04,Criminal,21/07/2025,17/11/2025,disposed,119
004420,04,Youth ,28/07/2025,28/09/2025,disposed,62
002012,03,Yth,12/07/2024,24/10/2024,disposed,104
005177,02,Civil,01/10/2024,23/12/2024,disposed,83
003302,12,family,28/08/2025,14/11/2025,Disposed,78
002416,01,Family ,24/07/2024,28/09/2024,DISPOSED,66
004060,12,Yth,17/10/2024,21/11/2024,Disposed,35
003075,03,Criminal,18/12/2025,,Active,
004616,01,youth,25/12/2025,31/03/2026,DISPOSED,96
001358,11,Family ,23/09/2024,22/12/2024,disposed,90
002710,11,civil,02/03/2025,29/12/2025,DISPOSED,302
003247,09,civil,04/12/2024,03/09/2025,DISPOSED,273
002875,02,Crim,24/04/2026,,ACTIVE,
002951,04,Youth,07/12/2025,14/08/2026,disposed,250
003376,04,family,09/09/2025,,Active,
001054,04,Family Court,27/05/2026,,active,
004374,05,family,30/05/2026,,Active ,
004329,10,criminal,28/07/2025,,ACTIVE,
004125,10,civil,04/11/2025,17/02/2026,DISPOSED,N/A
004882,07, Civil,12/03/2026,,Active ,
001633,07, Family,08/06/2026,,active,
003977,08,YOUTH,19/10/2025,17/01/2026,Disposed,90
003517,11,youth,04/10/2024,10/01/2025,disposed,98
003747,05,criminal,18/12/2025,08/07/2026,disposed,202
005134,01,Criminal,25/01/2026,20/03/2026,Disposed,54
001659,06,Crim,15/11/2024,05/05/2025,DISPOSED,171
002033,09,Criminal ,04/10/2024,27/12/2024,DISPOSED,84
003121,11,family,28/07/2025,15/12/2025,DISPOSED,140
002382,04,Criminal,11/05/2026,23/07/2026,Disposed,73
004987,07, Civil,23/08/2024,10/01/2025,disposed,140
004187,10,Criminal ,09/02/2026,,active,
002461,09,civil,06/03/2026,,Active ,
003833,07,FAMILY,07/09/2025,01/06/2026,DISPOSED,267
003908,05,Crim,14/12/2025,14/08/2026,DISPOSED,243
003464,-,Family,13/05/2025,04/07/2025,Disposed,52
003772,04, Civil,24/08/2025,06/05/2026,disposed,255
001103,03, Civil,20/05/2026,,Active ,
003550,03,Criminal ,12/08/2025,17/10/2025,DISPOSED,66
002399,08,criminal,13/05/2026,11/08/2026,disposed,90
004829,02,Criminal,26/10/2025,19/06/2026,disposed,226
004536,09,CIVIL,03/10/2024,12/03/2025,DISPOSED,150
003856,07,criminal,28/05/2026,,active,
002712,07,Civil,26/09/2025,,Active,
001046,04,CRIMINAL,18/07/2024,19/08/2024,disposed,32
002026,04,CRIMINAL,23/01/2025,23/02/2025,disposed,31
002376,08,Civil,07/01/2025,02/08/2025,Disposed,207
002141,03, Civil,01/08/2025,20/04/2026,DISPOSED,262
001399,10,FAMILY,02/08/2024,25/03/2025,Disposed,235
002174,11,Civil,02/02/2026,,Active,
004631,09,Civil,14/09/2024,08/12/2024,Disposed,85
003370,10,Criminal ,07/06/2025,07/09/2025,disposed,92
004212,02,civil,25/10/2025,27/12/2025,disposed,63
004902,06,Family ,06/11/2024,26/06/2025,DISPOSED,232
002366,05,Fam,15/05/2026,,Active,
001329,06,CIVIL,04/07/2024,30/01/2025,disposed,210
004876,07,Criminal ,08/06/2025,20/10/2025,Disposed, 134
003436,12,family,10/11/2024,10/04/2025,Disposed,151
002986,02,FAMILY,27/07/2024,,Active,
002539,06,Crim,05/10/2025,24/04/2026,DISPOSED,201
002600,05,CRIMINAL,29/07/2024,04/03/2025,Disposed,218
001345,10,Crim,20/08/2024,13/02/2025,Disposed,177
002071,02,FAMILY,07/05/2025,17/01/2026,Disposed,255
001352,05,Crim,18/06/2026,,active,
003573,03, Civil,11/01/2026,30/03/2026,DISPOSED,78
003367,11, Civil,21/02/2025,31/07/2025,disposed,160
004785,12,Crim,23/10/2024,28/02/2025,DISPOSED,128
001250,04,Criminal ,12/11/2024,06/03/2025,Disposed,114
003006,04,CIVIL,18/05/2026,09/07/2026,disposed,52
004416,04,criminal,31/05/2026,,Active,
002709,01,Civil,16/12/2025,20/04/2026,DISPOSED,125
001542,09,civil,17/04/2025,06/10/2025,disposed,172
005053,04,Family,05/04/2026,28/08/2026,DISPOSED,145
005061,08,CIVIL,30/03/2025,03/07/2025,Disposed,95
004639,03, Civil,03/08/2025,01/02/2026,Disposed,182
003614,03,Criminal,20/04/2026,26/07/2026,disposed,97
003625,09,Youth,12/04/2025,15/06/2025,disposed,64
002199,08,family,26/10/2024,01/10/2025,Disposed,340
001160,08,Youth ,12/11/2025,05/03/2026,disposed,113
001824,08,Civil,02/06/2025,04/01/2026,DISPOSED,216
001116,05,CRIMINAL,21/08/2025,11/07/2025,Disposed,206
002864,02,Criminal,14/05/2025,19/07/2025,disposed,66
003811,03,Fam,28/12/2024,21/07/2025,disposed,205
004928,08,family,16/05/2025,13/09/2025,Disposed,120
003244,03,CRIMINAL,19/06/2026,,Active,
003011,02,Crim,20/10/2024,04/02/2025,DISPOSED,107
004629,01,Family Court,25/06/2026,,Active,
001420,09,youth,23/03/2025,15/06/2026,Disposed,449
001074,03,CIVIL,26/11/2024,12/04/2025,disposed,137
001058,09,Crim,24/10/2024,10/01/2025,Disposed,78
002059,09,FAMILY,03/05/2026,13/08/2026,Disposed,102
001225,03,Family ,02/02/2026,23/04/2026,Disposed,  80  
003632,05,Civil,19/05/2025,31/12/2025,DISPOSED,226
004515,08,Crim,16/01/2026,15/05/2026,Disposed,119
003600,09,criminal,31/01/2026,22/04/2026,disposed,81
004284,04,Civil,20/03/2025,22/04/2025,Disposed,33
005151,06,youth,11/01/2026,21/06/2026,disposed,161
001321,09,Criminal,08/03/2025,02/10/2025,DISPOSED,208
003655,06,Family Court,15/07/2024,06/01/2025,disposed,175
004122,09,CIVIL,24/02/2026,,Active,
001522,07,Civil,08/04/2025,05/06/2025,disposed,58
002359,06,Civil,05/02/2026,,active,
001637,03,Family,26/04/2026,,Active,
001735,12, Family,06/08/2024,22/12/2024,Disposed,138
004844,02,Fam,26/07/2025,24/02/2026,Disposed,213
003845,11,Yth,29/03/2026,02/06/2026,Disposed,65 
001364,06,Civil,19/02/2025,01/09/2025,disposed,194
004185,01,Criminal ,14/06/2025,04/08/2025,disposed,51
002373,09, Civil,15/05/2026,,Active ,
004244,09,Crim,10/05/2025,15/07/2025,disposed,66
003489,12,Criminal,19/06/2025,27/08/2025,DISPOSED,69
001703,02,Family,17/08/2025,,Active,
003196,04,FAMILY,25/02/2025,21/06/2025,Disposed,116
003794,06,Youth,09/09/2024,28/09/2025,disposed,384
001907,08,Civil,30/07/2025,30/06/2026,DISPOSED,335
003437,09,FAMILY,14/07/2024,07/04/2025,disposed,267
004798,03,Youth,01/01/2025,12/06/2025,disposed,162
005120,09,CIVIL,30/12/2025,17/02/2026,Disposed,49
003093,12,Yth,31/12/2025,07/02/2026,DISPOSED,38
003007,01,Youth,03/03/2025,22/04/2025,Disposed,50
002759,03,family,25/07/2025,,active,
001363,08,FAMILY,09/10/2024,,Active,
002827,04,Crim,30/03/2025,28/05/2025,DISPOSED,59
004735,09,Yth,02/03/2025,29/04/2025,Disposed,58
002845,07,Criminal,06/04/2026,13/07/2026,disposed,98
001989,09,civil,28/07/2024,29/10/2024,DISPOSED,93
004799,02,CIVIL,17/08/2024,26/11/2024,Disposed,101
001934,04,criminal,08/12/2025,15/02/2026,DISPOSED, 69
003756,01,family,17/04/2025,,Active,
004841,04,YOUTH,11/02/2025,21/04/2025,Disposed,69
001764,08,Civil,29/06/2025,05/02/2026,Disposed,221
001129,09, Family,12/11/2025,22/07/2026,disposed,252
002779,12,Civil,18/11/2024,26/04/2025,Disposed,159
002165,03, Family,05/01/2026,,Active ,
003132,02, Civil,19/07/2025,12/10/2025,disposed,85
003283,04,Fam,31/07/2025,22/09/2025,DISPOSED,53
002022,09,Criminal ,11/05/2025,10/12/2025,Disposed,213
002990,09,Family,30/06/2025,12/09/2025,disposed,74
002041,03,family,05/04/2025,31/07/2026,DISPOSED,-
001687,03,Criminal,30/06/2026,,Active ,
003365,04,Criminal,02/04/2025,14/10/2025,disposed,195
001559,04,FAMILY,25/11/2025,28/03/2026,disposed,123
004368,06,CRIMINAL,24/09/2025,05/02/2026,disposed,134
002683,03,civil,27/03/2026,,active,
002070,10,CRIMINAL,27/01/2026,11/06/2026,disposed,135
005169,02,Civil,15/11/2025,24/04/2026,disposed,160
004481,06,YOUTH,06/06/2025,15/07/2025,disposed,39
001112,06,Family ,20/05/2025,17/12/2025,Disposed,211
005162,02, Civil,06/06/2026,,ACTIVE,
001093,01,Family,09/05/2025,06/02/2026,DISPOSED,273
003761,04,Youth,31/05/2025,08/08/2025,DISPOSED,  69  
001904,06,civil,08/07/2025,31/12/2025,disposed,176
003508,04,civil,10/10/2025,03/01/2026,disposed,85
001427,05, Civil,05/03/2026,18/07/2026,disposed,135
003173,03,youth,17/09/2025,09/11/2025,DISPOSED,53
002850,01,Crim,19/09/2024,03/12/2024,DISPOSED,75
002639,03,Family ,06/03/2025,25/09/2025,disposed,203 
003572,11,FAMILY,16/02/2025,30/06/2025,DISPOSED,134
004666,05,FAMILY,01/07/2025,,Active ,
002622,09,Family ,17/09/2025,,active,
004069,07,Criminal ,01/11/2024,30/11/2024,disposed,29
001747,12,CIVIL,11/09/2024,10/03/2025,Disposed,180 
004440,06,Civil,10/12/2025,,ACTIVE,
003020,04,CIVIL,06/09/2024,30/09/2024,Disposed,24
004670,09,Youth ,12/06/2025,03/10/2025,DISPOSED,113
003120,04,Civil,22/04/2026,,ACTIVE,
001978,08,CRIMINAL,29/03/2025,22/11/2025,DISPOSED,238
003366,06,Youth,04/04/2025,23/06/2025,disposed,80
002502,05,Fam,02/02/2026,,Active,
003840,08,Family,28/01/2026,,Active ,
001417,06,Family,19/03/2026,,ACTIVE,
005002,03,Criminal,21/08/2025,10/12/2025,disposed,111
002055,11, Civil,06/10/2024,20/07/2025,Disposed,287
004887,06,CRIMINAL,18/08/2025,30/10/2025,DISPOSED,73
001491,02,CRIMINAL,23/10/2024,05/01/2025,DISPOSED,74
004606,06,criminal,17/11/2024,22/02/2025,disposed,97
001770,12,family,10/10/2025,,active,
002526,10,youth,22/06/2025,02/08/2025,disposed,41
001120,04,CIVIL,17/01/2025,25/07/2025,Disposed,189
002052,07,Fam,23/07/2024,13/11/2024,DISPOSED,113
004730,06,FAMILY,07/11/2024,02/09/2025,Disposed,299
004831,07,Crim,13/10/2024,30/01/2025,disposed,109
003984,01,Yth,30/11/2025,27/03/2026,disposed,117
001982,09,Civil,17/04/2025,02/07/2025,disposed,76
001371,07,Yth,17/06/2025,12/09/2025,DISPOSED,87
003044,08,CRIMINAL,18/09/2025,07/03/2026,DISPOSED,170
001916,06,CRIMINAL,18/12/2025,03/05/2026,Disposed,136
003410,08, Family,01/07/2025,22/01/2026,Disposed,205
002782,11,family,08/11/2025,08/03/2026,Disposed,120
001140,11,Civil,21/10/2024,30/12/2024,DISPOSED,70
003905,01,FAMILY,29/10/2024,03/03/2025,DISPOSED,125
004656,12,civil,22/10/2025,,Active,
003888,02,civil,20/03/2026,,Active ,
001149,11,family,12/02/2026,,ACTIVE,
001475,13,family,24/02/2025,19/03/2026,disposed,388
003731,01,Criminal ,07/08/2024,26/09/2024,disposed,50
001377,08,Civil,19/04/2025,14/09/2025,DISPOSED,148
004824,06,Criminal,05/02/2025,17/11/2025,DISPOSED,285
001756,02, Civil,09/02/2026,10/06/2026,disposed,121
001816,11,youth,19/03/2025,04/08/2025,DISPOSED,138
002422,04, Family,10/07/2024,30/08/2024,DISPOSED,51
001622,06,Civil,27/09/2025,13/02/2026,DISPOSED,139
003141,07,Civil,22/11/2024,21/02/2025,Disposed,91
004464,02, Civil,15/09/2024,16/12/2024,disposed,92
004539,12,Youth ,05/07/2025,13/10/2025,DISPOSED,100
004350,06,Crim,06/03/2026,,ACTIVE,
004592,03,CIVIL,13/02/2026,,ACTIVE,
002177,03,Civil,21/12/2025,,ACTIVE,
003065,06,Civil,22/11/2024,20/01/2025,DISPOSED,59
003795,09,YOUTH,11/05/2026,10/08/2026,Disposed,91
002612,09,Civil,17/10/2024,23/11/2024,Disposed,37
003140,01,criminal,20/11/2024,22/03/2025,DISPOSED,122
004602,05,Civil,17/07/2025,,Active ,
002346,10,criminal,30/09/2025,09/02/2026,disposed,132
004803,04,CIVIL,21/03/2026,18/07/2026,DISPOSED,119
004240,04,civil,19/12/2025,,ACTIVE,
001199,12,civil,24/04/2025,19/08/2025,disposed,117 
003304,07,Family Court,19/09/2024,19/12/2025,DISPOSED,456
003858,09,civil,14/10/2024,03/04/2025,DISPOSED,171
004336,08, Family,01/11/2024,08/01/2026,DISPOSED,433
004571,11, Civil,16/07/2024,19/10/2024,Disposed,95
001036,10,youth,16/08/2025,24/10/2025,DISPOSED,69
002289,05,FAMILY,15/10/2024,03/08/2025,DISPOSED,292 
002156,08, Civil,27/05/2026,,Active ,
002403,10,Crim,24/12/2025,03/04/2026,disposed,100
005071,10,Family ,12/10/2025,12/07/2026,disposed,273
004394,02,Family ,29/10/2025,04/06/2026,Disposed,-
004205,02,YOUTH,10/04/2025,15/05/2025,DISPOSED,35
004265,11,Fam,22/09/2024,16/12/2024,Disposed,85
004732,09,CRIMINAL,25/01/2026,19/04/2026,disposed,84
002589,04,criminal,18/10/2024,15/01/2025,disposed,89
001146,02,Criminal,31/07/2025,04/11/2025,Disposed,96
002573,12,CRIMINAL,08/02/2026,19/08/2026,Disposed,192
002932,08,Criminal ,20/03/2026,,Active,
004357,08,Crim,19/11/2024,22/01/2025,Disposed,64
005028,07,Youth,23/11/2024,22/04/2025,Disposed,150
005083,01,Fam,05/10/2025,02/03/2026,Disposed,148
001173,11,Civil,19/09/2025,18/03/2026,disposed,180
004419,01,civil,30/11/2024,13/04/2025,DISPOSED,134
002515,07,Criminal ,14/04/2026,,ACTIVE,
004182,12,CRIMINAL,31/10/2024,,Active ,
001310,03,civil,31/12/2025,,Active,
001721,03,Civil,10/07/2024,05/01/2025,disposed,179
001290,03,FAMILY,17/07/2024,02/03/2025,DISPOSED,228
001594,11,Youth ,08/02/2025,01/08/2025,DISPOSED, 174
005048,07,Family ,27/03/2025,26/11/2025,Disposed,244
004625,10,civil,22/07/2025,08/11/2025,disposed,109
002552,02,Family ,15/02/2026,28/03/2026,DISPOSED,41
001935,01,Youth,25/07/2024,14/09/2024,Disposed,51
003532,02,criminal,11/04/2025,04/05/2025,Disposed,23
003660,07,Criminal ,03/08/2024,28/07/2026,disposed,724
003336,03,Civil,24/11/2024,05/08/2025,Disposed,254
002631,08,YOUTH,25/10/2024,12/02/2025,disposed,110 
001535,05,family,23/06/2025,20/10/2025,Disposed,119
002755,07,YOUTH,04/03/2025,28/05/2025,disposed,85
004688,07,Family,02/10/2024,12/05/2025,Disposed,222
001081,01,Family Court,26/10/2024,26/11/2024,Disposed,31
003648,03,family,13/09/2025,,Active,
002111,03,FAMILY,25/02/2025,,active,
003285,10,Crim,09/06/2025,04/08/2025,DISPOSED,56
003322,07,youth,16/11/2024,17/06/2025,disposed,213
004219,07, Civil,16/03/2026,,ACTIVE,
002306,10,CIVIL,26/03/2026,,ACTIVE,
002640,06,FAMILY,16/03/2025,07/09/2025,DISPOSED,175
004387,10,Crim,09/05/2025,04/07/2025,DISPOSED,56
001015,02,Family ,16/10/2025,10/01/2026,DISPOSED, 86
001110,11,Fam,13/06/2026,,Active,
002051,09,Youth,01/08/2024,26/01/2025,disposed,178 
002565,10,YOUTH,31/01/2026,08/05/2026,Disposed,97
003887,12,Family ,12/05/2025,01/02/2026,disposed,265
001962,12,Yth,18/12/2025,07/03/2026,disposed,79
003303,11,CIVIL,05/09/2024,23/12/2024,disposed,  109  
003113,12,Yth,05/04/2025,23/05/2025,Disposed,48
004142,09,Civil,07/11/2024,27/12/2024,disposed,50
004034,08, Civil,17/10/2025,,Active ,
005180,04,Criminal ,21/07/2025,23/01/2026,disposed,  186  
002537,12,Family ,13/11/2025,29/06/2026,DISPOSED,228
003133,11,Family,06/12/2025,29/04/2026,Disposed,144
003796,08,Yth,04/07/2025,19/12/2025,DISPOSED,168
004681,11,Crim,24/07/2025,07/10/2025,disposed,75
003510,10,Fam,13/08/2025,17/02/2026,Disposed,188
004810,01,family,04/02/2025,28/03/2026,DISPOSED,417
001179,08,Family Court,27/06/2025,11/06/2026,disposed,349
001458,01,Civil,08/08/2024,07/12/2024,disposed,121
001999,05,FAMILY,19/11/2024,21/10/2025,disposed,336
003267,11,Crim,17/07/2024,17/12/2024,DISPOSED,153
002478,10,Fam,24/10/2025,08/04/2026,Disposed,166
004222,11, Civil,22/03/2025,05/05/2025,DISPOSED,34
004313,08,Civil,01/06/2026,,Active ,
005092,02,YOUTH,29/11/2024,07/01/2025,Disposed,39
004281,06,FAMILY,02/05/2025,,Active,
004322,12,Family ,07/01/2026,15/05/2026,DISPOSED,128
001304,04,Criminal,05/03/2026,,ACTIVE,
003663,02,Crim,03/09/2025,14/11/2025,disposed,72
001853,10,Civil,06/11/2024,,Active,
004740,01,Civil,22/10/2025,,ACTIVE,
001510,09,CIVIL,16/07/2024,,active,
002688,05,youth,05/09/2024,16/12/2024,disposed,102
002800,01,Criminal ,07/05/2025,,Active,
004659,03, Family,01/10/2024,17/05/2025,Disposed,228
002821,11,Family ,27/10/2025,,active,
002181,02,family,20/06/2026,,active,
001572,01,Family Court,06/08/2024,27/07/2025,DISPOSED,355
002123,03,Crim,13/10/2025,07/04/2026,DISPOSED,176
003284,05, Civil,27/06/2026,,ACTIVE,
003148,01,YOUTH,29/12/2024,,ACTIVE,
002348,06,Criminal,17/10/2025,22/03/2026,Disposed,156
004197,07,CIVIL,16/07/2024,11/10/2024,DISPOSED,87
001613,09, Civil,25/04/2026,,Active ,
002698,06,Criminal ,14/11/2024,23/05/2026,disposed,555
002448,06,CIVIL,21/07/2024,04/08/2025,DISPOSED,379
003519,11,Youth ,18/11/2024,27/02/2025,Disposed,101
001057,10,criminal,25/05/2025,09/01/2026,disposed,229
003309,12, Family,07/09/2025,11/05/2026,DISPOSED,246
002278,01,Crim,02/07/2024,15/09/2024,DISPOSED,75
003545,10, Civil,24/07/2024,29/03/2025,DISPOSED,248
001342,11,CIVIL,04/03/2026,14/05/2026,disposed,71
001651,12,CIVIL,24/02/2026,,ACTIVE,
004465,11,CRIMINAL,28/08/2024,27/11/2024,disposed, 91
004850,09,Family,13/06/2025,03/04/2026,DISPOSED,294
003850,12,family,30/04/2025,15/08/2025,DISPOSED,107
004298,10,Crim,22/06/2026,,Active ,
003363,02,civil,16/06/2026,,Active,
002460,07,civil,15/07/2025,06/11/2025,DISPOSED,114
002707,11,Family Court,24/02/2025,18/08/2025,DISPOSED,175
002048,11, Family,15/09/2025,12/01/2026,Disposed,119
002066,03,CRIMINAL,28/10/2024,03/01/2025,Disposed,67
003038,03, Family,21/05/2026,,Active ,
005033,02,Family,15/06/2026,07/08/2026,DISPOSED,53
001938,12,civil,27/01/2026,04/05/2026,Disposed,97
002559,07, Civil,01/08/2025,01/07/2026,DISPOSED,334
004305,12,CIVIL,07/06/2026,,ACTIVE,
003240,08,Family,11/01/2026,,active,
002065,06, Civil,24/09/2024,23/02/2025,Disposed,152
001389,10,Crim,18/12/2024,06/11/2025,Disposed,323
001280,09,CRIMINAL,12/01/2025,15/05/2025,Disposed,123
002519,12,civil,03/04/2025,21/11/2025,Disposed,232
002447,05,Youth,23/11/2025,23/04/2026,Disposed,151
004752,08, Family,20/11/2024,11/04/2025,Disposed,142
002440,01,CRIMINAL,14/11/2025,,active,
004642,05,Crim,09/05/2025,24/09/2025,Disposed,138
002685,06,Criminal ,27/05/2025,23/12/2025,Disposed,210
004698,05,criminal,02/08/2025,02/02/2026,DISPOSED,184
002576,05,Family ,01/12/2024,08/04/2025,disposed,128
004326,04,Family Court,23/04/2026,,ACTIVE,
003254,12,criminal,07/11/2025,,active,
001758,03,Family ,04/01/2025,03/10/2025,Disposed,272
002003,07,youth,07/08/2025,,ACTIVE,
004657,04,Criminal ,08/08/2025,19/12/2025,DISPOSED,133
002741,04,Family,22/10/2024,18/03/2025,disposed,147
003901,05,FAMILY,05/09/2025,01/05/2026,disposed,238
001969,10,Family Court,10/07/2025,12/08/2026,disposed,398
003689,07, Civil,21/04/2026,,Active ,
002783,03, Family,27/05/2026,,active,
002628,06,Family,24/09/2025,,Active ,
003257,01,Family,04/02/2025,18/09/2025,disposed,226
005104,06,CRIMINAL,30/11/2024,09/03/2025,disposed,99
003256,08,CIVIL,12/08/2025,09/05/2026,Disposed,270
001792,01,Youth ,11/11/2025,29/03/2026,disposed,138
001837,05,Fam,07/01/2025,,Active ,
004386,12,youth,03/11/2024,05/12/2024,Disposed,32
003323,02, Family,19/04/2025,23/07/2025,DISPOSED,95
003962,01,Criminal ,03/04/2026,23/08/2026,Disposed,142
002731,03,civil,26/03/2026,,active,
003941,01,YOUTH,20/05/2026,20/08/2026,DISPOSED,92
002614,06,FAMILY,10/11/2025,22/08/2026,Disposed,285
003821,10,Civil,24/04/2025,22/06/2025,disposed,59
001449,07, Civil,22/03/2025,10/09/2025,Disposed,172
001440,08,CIVIL,22/03/2026,,active,
001831,02,Criminal,13/09/2024,29/11/2024,disposed,77
003538,01,Crim,23/01/2026,10/07/2026,Disposed,168
005107,04,Youth,01/02/2025,19/04/2025,DISPOSED,77
004229,10,Crim,18/03/2026,14/05/2026,Disposed,57
002989,02,CRIMINAL,03/07/2024,20/12/2024,Disposed,170
001047,07,YOUTH,24/03/2026,20/05/2026,disposed,57
004202,08,CRIMINAL,27/11/2024,21/01/2025,disposed,55
001631,05,Criminal,08/06/2026,,Active,
001291,05,Youth ,01/10/2025,06/04/2026,disposed,187
001560,03,Youth,09/04/2025,25/04/2025,DISPOSED,16
001347,05,Criminal ,18/11/2025,,ACTIVE,
002091,06,criminal,26/10/2024,17/03/2025,Disposed,142
002758,04,Family,24/10/2024,06/09/2025,disposed,317
004279,11,Family ,28/08/2025,07/07/2026,Disposed,313
004165,10,Criminal,29/07/2024,,active,
003440,08,Crim,18/02/2026,,Active ,
001248,10,Yth,25/07/2025,08/10/2025,DISPOSED,75
